의도 id (그대로 두세요),의도,뜻 (참고),구분,예시 문장 — 어색하면 자유롭게 고쳐 쓰세요,빼려면 X
visual_decorate,사진 꾸미기,,추가 초안3,날짜랑 이름표 넣어서 꾸며줘,
visual_decorate,사진 꾸미기,,추가 초안4,졸업 사진 느낌 나게 리본 장식 얹어줘,
visual_collage_compose,콜라주 만들기,선택된 여러 장의 사진을 입력으로 한 장짜리 콜라주나 모음 컷 이미지를 합성해 만든다.,기존1 (참고용),오늘 사진들 한 장으로 모아줘,
visual_collage_compose,콜라주 만들기,,기존2 (참고용),이 네 장 묶어서 알림장에 넣게 한 컷으로 만들어줄래?,
visual_collage_compose,콜라주 만들기,,추가 초안1,오늘 활동 사진 네 장 한 컷으로 합쳐줘,
visual_collage_compose,콜라주 만들기,,추가 초안2,이번 달 하이라이트 콜라주 만들어줘,
visual_collage_compose,콜라주 만들기,,추가 초안3,이 사진들 모아서 모음컷 만들어줄래?,
visual_collage_compose,콜라주 만들기,,추가 초안4,졸업 앨범용으로 한 장에 배열해서 합성해줘,
comm_draft_parent_notice,학급 알림장 쓰기,화면의 활동 기록·일정 등 컨텍스트를 근거로 학급 학부모 전체에게 보낼 알림장·공지 초안을 작성한다.,기존1 (참고용),오늘 알림장 좀 써줘,
comm_draft_parent_notice,학급 알림장 쓰기,,기존2 (참고용),내일 물놀이 준비물 공지 하나만,
comm_draft_parent_notice,학급 알림장 쓰기,,추가 초안1,오늘 활동 사진 곁들여서 알림장 초안 잡아줘,
comm_draft_parent_notice,학급 알림장 쓰기,,추가 초안2,우리 반 전체에 나갈 견학 공지 써줘,
comm_draft_parent_notice,학급 알림장 쓰기,,추가 초안3,이번 주 학급 소식지 초안 만들어줘,
comm_draft_parent_notice,학급 알림장 쓰기,,추가 초안4,내일 준비물 공지 문구 하나 뽑아줘,
comm_message_individual_parent,개별 학부모 메시지,특정 아동에 관한 전달 사항을 그 아동의 학부모 한 가정에게 보내는 개별 메시지로 작성해 전송한다.,기존1 (참고용),지우 어머니한테 오늘 낮잠 못 잤다고 전해줘,
comm_message_individual_parent,개별 학부모 메시지,,기존2 (참고용),이건 서준이네만 따로 알려야 할 것 같은데,
comm_message_individual_parent,개별 학부모 메시지,,추가 초안1,다온이 어머니께 오늘 열이 조금 있었다고 알려드려줘,
comm_message_individual_parent,개별 학부모 메시지,,추가 초안2,서준이네만 따로 하원 시간 변경 안내해줘,
comm_message_individual_parent,개별 학부모 메시지,,추가 초안3,지호 아버님께 상담 가능 시간 여쭤보는 메시지 보내줘,
comm_message_individual_parent,개별 학부모 메시지,,추가 초안4,민서 부모님께 오늘 점심 잘 먹었다고 전해드려,
comm_share_media_with_parents,학부모에 사진 공유,화면에서 지시된 사진·영상 등 미디어 자료를 가정에서 볼 수 있도록 학부모 채널에 공유한다.,기존1 (참고용),이 사진들 부모님들한테 보내줘,
comm_share_media_with_parents,학부모에 사진 공유,,기존2 (참고용),오늘 놀이 영상 가정에도 공유해줘,
comm_share_media_with_parents,학부모에 사진 공유,,추가 초안1,오늘 체육대회 사진 가정에 공유해줘,
comm_share_media_with_parents,학부모에 사진 공유,,추가 초안2,이 영상 부모님들 보시게 올려줘,
comm_share_media_with_parents,학부모에 사진 공유,,추가 초안3,발표회 영상 각 가정으로 보내줘,
comm_share_media_with_parents,학부모에 사진 공유,,추가 초안4,물놀이 사진 학부모 앨범에 올려줄래?,
comm_share_with_colleague,동료 교사와 공유,현재 보고 있는 자료나 기록을 지정된 동료 교사·원장 등 원내 구성원에게 전달해 함께 볼 수 있게 공유한다.,기존1 (참고용),이거 옆 반 선생님한테도 보내줄래?,
comm_share_with_colleague,동료 교사와 공유,,기존2 (참고용),이 관찰기록 원장님께 공유 좀,
comm_share_with_colleague,동료 교사와 공유,,추가 초안1,이 계획안 옆 반 선생님께 보내드려줘,
comm_share_with_colleague,동료 교사와 공유,,추가 초안2,이 관찰기록 부장님이랑 공유해줘,
comm_share_with_colleague,동료 교사와 공유,,추가 초안3,우리 반 자료 3반 선생님도 볼 수 있게 해줘,
comm_share_with_colleague,동료 교사와 공유,,추가 초안4,이 문서 원감님께 전달해줄래?,
comm_present_to_children,아이들에게 보여주기,화면의 사진·영상·자료를 아이들이 다 같이 볼 수 있도록 교실 대형 화면에 크게 띄워 표시한다.,기존1 (참고용),얘들아 이것 좀 봐,
comm_present_to_children,아이들에게 보여주기,,기존2 (참고용),이 사진 애들 보게 크게 띄워줘,
comm_present_to_children,아이들에게 보여주기,,추가 초안1,어제 찍은 율동 영상 애들 보게 틀어줘,
comm_present_to_children,아이들에게 보여주기,,추가 초안2,이 그림 화면에 크게 띄워줘,
comm_present_to_children,아이들에게 보여주기,,추가 초안3,다 같이 보게 TV로 쏴줘,
comm_present_to_children,아이들에게 보여주기,,추가 초안4,동화 삽화 아이들한테 보여줄래?,
comm_schedule_send,발송 예약,이미 작성된 알림·메시지에 발송 시각을 지정해 예약 발송으로 등록하거나 예약 시각을 변경한다.,기존1 (참고용),이 알림장 내일 아침에 나가게 해줘,
comm_schedule_send,발송 예약,,기존2 (참고용),발송 4시 반으로 예약 좀,
comm_schedule_send,발송 예약,,추가 초안1,이 공지 금요일 오후 3시에 나가게 예약해줘,
comm_schedule_send,발송 예약,,추가 초안2,알림장 발송 내일 아침 8시로 걸어놔,
comm_schedule_send,발송 예약,,추가 초안3,예약 발송 시간 5시로 바꿔줘,
comm_schedule_send,발송 예약,,추가 초안4,이 메시지 하원 시간에 맞춰 나가게 해줘,
comm_translate_for_family,가정용 번역,작성된 알림·메시지를 수신 가정의 언어에 맞게 번역한 발송용 버전으로 생성한다.,기존1 (참고용),이거 베트남어로도 하나 만들어줘,
comm_translate_for_family,가정용 번역,,기존2 (참고용),사라네는 영어로 보내야 하는데,
comm_translate_for_family,가정용 번역,,추가 초안1,이 알림장 중국어 버전도 만들어줘,
comm_translate_for_family,가정용 번역,,추가 초안2,린이네 가정엔 영어로 번역해서 보내야 해,
comm_translate_for_family,가정용 번역,,추가 초안3,이 안내문 러시아어로 바꿔줄래?,
comm_translate_for_family,가정용 번역,,추가 초안4,다문화 가정용 번역본 준비해줘,
comm_collect_parent_responses,학부모 회신 모으기,발송한 알림·요청에 대한 학부모 회신을 수합해 집계·요약한 현황을 제시한다.,기존1 (참고용),소풍 간다는 집 몇 집이나 돼?,
comm_collect_parent_responses,학부모 회신 모으기,,기존2 (참고용),학부모 답장 온 것 좀 정리해줘,
comm_collect_parent_responses,학부모 회신 모으기,,추가 초안1,견학 동의서 회신 몇 집이나 왔는지 세줘,
comm_collect_parent_responses,학부모 회신 모으기,,추가 초안2,설문에 답한 가정 목록 정리해줘,
comm_collect_parent_responses,학부모 회신 모으기,,추가 초안3,아직 답 없는 집이 어디야?,
comm_collect_parent_responses,학부모 회신 모으기,,추가 초안4,참석 여부 회신 현황 보여줘,
comm_request_consent,동의 요청 보내기,견학·사진 사용 등 동의가 필요한 사안의 동의 요청서를 대상 학부모에게 발송해 서명·동의 회신을 요청한다.,기존1 (참고용),현장학습 동의서 돌려야 해,
comm_request_consent,동의 요청 보내기,,기존2 (참고용),사진 사용 동의 안 받은 집에 요청 보내줘,
comm_request_consent,동의 요청 보내기,,추가 초안1,개인정보 수집 동의서 발송해줘,
comm_request_consent,동의 요청 보내기,,추가 초안2,체험학습 동의 아직 안 한 가정에 다시 요청 보내줘,
comm_request_consent,동의 요청 보내기,,추가 초안3,"사진 활용 동의 받아야 해, 요청서 돌려줘",
comm_request_consent,동의 요청 보내기,,추가 초안4,예방접종 동의서 각 가정에 보내줄래?,
op_schedule_update,일정 업데이트,발화와 화면 컨텍스트에서 파악한 활동·행사·시간 정보를 캘린더나 주간 계획안의 일정 항목으로 등록하거나 변경한다.,기존1 (참고용),내일 오후에 신체검사 일정 좀 잡아줘,
op_schedule_update,일정 업데이트,,기존2 (참고용),비 온다는데 바깥놀이 목요일로 옮겨줘,
op_schedule_update,일정 업데이트,,추가 초안1,다음 주 화요일에 소방 대피훈련 일정 넣어줘,
op_schedule_update,일정 업데이트,,추가 초안2,사진사 방문 10시로 잡아줘,
op_schedule_update,일정 업데이트,,추가 초안3,"운동회 연기됐어, 25일로 옮겨줘",
op_schedule_update,일정 업데이트,,추가 초안4,학부모 상담 주간 캘린더에 등록해줘,
op_schedule_check,일정 확인,캘린더·주간 계획안에서 지정된 기간이나 행사에 해당하는 일정 정보를 조회해 요약된 형태로 제시한다.,기존1 (참고용),오늘 뭐 있었더라?,
op_schedule_check,일정 확인,,기존2 (참고용),다음 주 견학이 며칠이지?,
op_schedule_check,일정 확인,,추가 초안1,이번 주 금요일에 뭐 있지?,
op_schedule_check,일정 확인,,추가 초안2,신체검사가 언제였더라?,
op_schedule_check,일정 확인,,추가 초안3,다음 달 행사 일정 보여줘,
op_schedule_check,일정 확인,,추가 초안4,오늘 오후 일정 확인해줘,
op_material_prepare,준비물 챙기기,예정된 활동·행사 정보를 바탕으로 필요한 준비물과 자료를 뽑아 준비 체크리스트를 생성한다.,기존1 (참고용),내일 미술활동 준비물 좀 뽑아줘,
op_material_prepare,준비물 챙기기,,기존2 (참고용),물놀이 하려면 뭐뭐 챙겨야 하지?,
op_material_prepare,준비물 챙기기,,추가 초안1,내일 요리활동 준비물 목록 뽑아줘,
op_material_prepare,준비물 챙기기,,추가 초안2,견학 갈 때 챙길 것 체크리스트 만들어줘,
op_material_prepare,준비물 챙기기,,추가 초안3,비눗방울 놀이 하려면 뭐 준비해야 하지?,
op_material_prepare,준비물 챙기기,,추가 초안4,다음 주 과학활동 재료 리스트 정리해줘,
op_document_export,문서 내보내기,화면에 열려 있거나 지정된 문서·자료를 PDF 등 파일로 내보내거나 인쇄 가능한 형태로 출력한다.,기존1 (참고용),이거 출력 좀 해줘,
op_document_export,문서 내보내기,,기존2 (참고용),이번 달 포트폴리오 PDF로 뽑아줘,
op_document_export,문서 내보내기,,추가 초안1,이 계획안 PDF로 뽑아줘,
op_document_export,문서 내보내기,,추가 초안2,관찰기록 인쇄용으로 변환해줘,
op_document_export,문서 내보내기,,추가 초안3,포트폴리오 파일로 내보내줘,
op_document_export,문서 내보내기,,추가 초안4,이 문서 출력 좀 부탁해,
op_attendance_record,출결 기록,발화에서 파악한 아이별 출결 상태(출석·결석·조퇴 등)를 출석부의 출결 기록으로 반영한다.,기존1 (참고용),지우 오늘 병결로 해줘,
op_attendance_record,출결 기록,,기존2 (참고용),다온이 할머니가 데려가셔서 조퇴야,
op_attendance_record,출결 기록,,추가 초안1,"서준이 방금 등원했어, 체크해줘",
op_attendance_record,출결 기록,,추가 초안2,"민서 오늘 안 온대, 결석 처리해줘",
op_attendance_record,출결 기록,,추가 초안3,하윤이 출석부에 지각으로 올려줘,
op_attendance_record,출결 기록,,추가 초안4,오늘 우리 반 전원 출석이야,
op_notice_send,알림 보내기,"이미 작성된 알림장·공지·자료를 지정한 대상(학부모, 반 전체 등)에게 발송한다.",기존1 (참고용),알림장 이제 보내줘,
op_notice_send,알림 보내기,,기존2 (참고용),아까 써놓은 가정통신문 학부모들한테 지금 발송해줘,
op_notice_send,알림 보내기,,추가 초안1,아까 쓴 알림장 지금 발송해줘,
op_notice_send,알림 보내기,,추가 초안2,이 공지 학부모 전체에 보내줘,
op_notice_send,알림 보내기,,추가 초안3,완성된 가정통신문 바로 내보내줘,
op_notice_send,알림 보내기,,추가 초안4,저장해둔 안내문 오늘자로 발송해줄래?,
op_workspace_organize,자료 정리,선택되거나 지정된 워크스페이스 항목(사진·기록 등)을 아이별·날짜별·활동별 같은 기준에 따라 정렬·분류해 정돈한다.,기존1 (참고용),작업함에 쌓인 관찰기록이랑 자료들 아이별로 분류해서 정돈해줘,
op_workspace_organize,자료 정리,,기존2 (참고용),관찰기록 애들 이름별로 묶어줘,
op_workspace_organize,자료 정리,,추가 초안1,작업함 자료 월별로 정리해줘,
op_workspace_organize,자료 정리,,추가 초안2,이 파일들 활동별 폴더로 나눠줘,
op_workspace_organize,자료 정리,,추가 초안3,관찰기록 아이 이름별로 묶어서 정돈해줘,
op_workspace_organize,자료 정리,,추가 초안4,"자료실이 엉망이야, 분류 좀 해줘",
op_workspace_search,자료 검색,발화의 조건(아이·기간·활동·자료 유형 등)에 맞는 항목을 워크스페이스에서 검색해 결과 목록으로 제시한다.,기존1 (참고용),작년 운동회 계획안 파일 어디 있지?,
op_workspace_search,자료 검색,,기존2 (참고용),지난달에 만든 가정통신문 파일 좀 띄워줘,
op_workspace_search,자료 검색,,추가 초안1,작년 크리스마스 행사 자료 어디 있지?,
op_workspace_search,자료 검색,,추가 초안2,지난번에 만든 안전교육 자료 찾아줘,
op_workspace_search,자료 검색,,추가 초안3,5월에 쓴 가정통신문 꺼내줘,
op_workspace_search,자료 검색,,추가 초안4,견학 보고서 양식 파일 검색해줘,
op_workspace_delete,자료 삭제,지정되거나 조건에 맞는 워크스페이스 항목을 삭제하거나 휴지통으로 이동해 목록에서 제거한다.,기존1 (참고용),흔들린 사진들 싹 지워줘,
op_workspace_delete,자료 삭제,,기존2 (참고용),"이건 잘못 올렸어, 없애줘",
op_workspace_delete,자료 삭제,,추가 초안1,실패한 스캔본 다 삭제해줘,
op_workspace_delete,자료 삭제,,추가 초안2,임시 저장 파일들 휴지통으로 보내줘,
op_workspace_delete,자료 삭제,,추가 초안3,이 중복 문서 없애줘,
op_workspace_delete,자료 삭제,,추가 초안4,옛날 버전 계획안 지워줘,
refl_activity_review,활동 돌아보기,완료된 특정 활동의 사진·관찰 기록·계획안을 근거로 그 활동의 잘된 점과 아쉬운 점을 정리한 평가 요약을 생성한다.,기존1 (참고용),오늘 물감놀이 어땠는지 좀 정리해줘,
refl_activity_review,활동 돌아보기,,기존2 (참고용),아까 그 바깥놀이 평가 좀 해줄래?,
refl_activity_review,활동 돌아보기,,추가 초안1,오늘 신체활동 잘된 점 아쉬운 점 정리해줘,
refl_activity_review,활동 돌아보기,,추가 초안2,이번 요리활동 평가 좀 해줄래?,
refl_activity_review,활동 돌아보기,,추가 초안3,아까 이야기나누기 어땠는지 돌아보자,
refl_activity_review,활동 돌아보기,,추가 초안4,물감놀이 활동 리뷰 만들어줘,
refl_child_progress_review,아이 성장 돌아보기,특정 아이의 누적 관찰 기록과 포트폴리오를 모아 이전 시기 대비 발달 변화 추이를 정리한 리뷰를 생성한다.,기존1 (참고용),서준이 지난달이랑 비교하면 많이 컸나?,
refl_child_progress_review,아이 성장 돌아보기,,기존2 (참고용),민지 기록 모아서 어떻게 변했는지 봐줘,
refl_child_progress_review,아이 성장 돌아보기,,추가 초안1,다온이 입학 때랑 지금이랑 비교해서 발달 리뷰해줘,
refl_child_progress_review,아이 성장 돌아보기,,추가 초안2,서아 언어가 얼마나 늘었는지 추이 보여줘,
refl_child_progress_review,아이 성장 돌아보기,,추가 초안3,민준이 1학기 성장 변화 정리해줄래?,
refl_child_progress_review,아이 성장 돌아보기,,추가 초안4,지호 석 달 동안 어떻게 컸는지 봐줘,
refl_milestone_check,발달 이정표 점검,아이의 현재 관찰 기록을 연령별 표준 발달지표와 대조하여 발달 영역별 도달 여부를 정리한 점검 결과를 생성한다.,기존1 (참고용),하윤이 5세 발달 기준으로 보면 어때?,
refl_milestone_check,발달 이정표 점검,,기존2 (참고용),얘 언어 쪽 또래 수준 맞나 봐줘,
refl_milestone_check,발달 이정표 점검,,추가 초안1,도윤이 만 4세 발달 기준에 도달했는지 점검해줘,
refl_milestone_check,발달 이정표 점검,,추가 초안2,서준이 대근육 발달 또래 수준인지 확인해줘,
refl_milestone_check,발달 이정표 점검,,추가 초안3,하윤이 연령 지표 대비 어디쯤이야?,
refl_milestone_check,발달 이정표 점검,,추가 초안4,민서 언어 지표 기준으로 어느 단계인지 봐줘,
refl_goal_alignment_check,목표 점검,주간 계획안이나 교사가 세운 목표를 실제 활동·관찰 기록과 대조하여 달성된 항목과 누락된 항목을 정리한 점검표를 생성한다.,기존1 (참고용),이번 주 계획대로 다 했나 봐줘,
refl_goal_alignment_check,목표 점검,,기존2 (참고용),지난달 목표 중에 못 한 게 뭐야?,
refl_goal_alignment_check,목표 점검,,추가 초안1,이번 주 계획안 목표 다 달성했는지 대조해줘,
refl_goal_alignment_check,목표 점검,,추가 초안2,월간 목표 중에 빠진 항목 뭐야?,
refl_goal_alignment_check,목표 점검,,추가 초안3,계획대로 활동이 진행됐는지 점검표 만들어줘,
refl_goal_alignment_check,목표 점검,,추가 초안4,학기 목표 대비 어디까지 왔는지 확인해줘,
refl_self_journal,교사 성찰일지,교사가 남긴 짧은 메모나 구두 소감을 입력으로 받아 그날의 수업 운영에 대한 자기 성찰 일지 초안을 작성한다.,기존1 (참고용),"오늘 좀 정신없었는데, 회고 일지 초안 좀 써줘",
refl_self_journal,교사 성찰일지,,기존2 (참고용),방금 말한 느낌 그대로 성찰일지로 만들어줘,
refl_self_journal,교사 성찰일지,,추가 초안1,오늘 내 수업 소감 성찰일지로 써줘,
refl_self_journal,교사 성찰일지,,추가 초안2,"오늘따라 전이가 힘들었어, 일지에 남겨줘",
refl_self_journal,교사 성찰일지,,추가 초안3,이번 주 교사 저널 초안 잡아줘,
refl_self_journal,교사 성찰일지,,추가 초안4,방금 느낀 점 그대로 회고로 정리해줘,
refl_teaching_pattern_insight,수업 패턴 살펴보기,교사 자신의 누적 활동 운영·상호작용 기록을 분석하여 반복되는 운영 습관이나 영역·아이별 치우침을 짚어주는 인사이트를 생성한다.,기존1 (참고용),나 요즘 미술만 너무 많이 한 것 같지 않아?,
refl_teaching_pattern_insight,수업 패턴 살펴보기,,기존2 (참고용),내가 어떤 애들이랑 상호작용이 적었는지 봐줘,
refl_teaching_pattern_insight,수업 패턴 살펴보기,,추가 초안1,내가 바깥놀이를 너무 안 하는 건 아닌지 봐줘,
refl_teaching_pattern_insight,수업 패턴 살펴보기,,추가 초안2,요즘 내 상호작용 패턴 분석해줘,
refl_teaching_pattern_insight,수업 패턴 살펴보기,,추가 초안3,내가 어떤 활동에 치우쳐 있는지 알려줘,
refl_teaching_pattern_insight,수업 패턴 살펴보기,,추가 초안4,발문을 특정 애들한테만 하는지 확인해줄래?,
refl_improvement_suggest,개선점 제안,활동 평가나 회고에서 드러난 아쉬운 점을 바탕으로 다음 실행에 적용할 구체적인 개선 방안 목록을 제안한다.,기존1 (참고용),다음엔 뭘 바꾸면 좋을까?,
refl_improvement_suggest,개선점 제안,,기존2 (참고용),이 활동 다음번엔 어떻게 하면 더 나을까?,
refl_improvement_suggest,개선점 제안,,추가 초안1,오늘 활동 아쉬웠는데 다음엔 뭘 바꿔볼까?,
refl_improvement_suggest,개선점 제안,,추가 초안2,전이 시간 줄일 개선 아이디어 줘,
refl_improvement_suggest,개선점 제안,,추가 초안3,이 수업 더 낫게 할 방법 제안해줘,
refl_improvement_suggest,개선점 제안,,추가 초안4,다음 학기에 손볼 점 정리해줄래?,
refl_support_need_scan,지원 필요한 아이 찾기,학급 전체의 누적 관찰 데이터를 훑어 추가 관찰이나 지원이 필요한 아이와 발달 영역을 찾아 목록으로 제시한다.,기존1 (참고용),요즘 좀 신경 써야 할 애 있나 봐줘,
refl_support_need_scan,지원 필요한 아이 찾기,,기존2 (참고용),언어 쪽 지원이 더 필요해 보이는 애들 좀 추려줘,
refl_support_need_scan,지원 필요한 아이 찾기,,추가 초안1,추가 지원 필요한 애 있는지 반 전체 훑어줘,
refl_support_need_scan,지원 필요한 아이 찾기,,추가 초안2,정서 지원이 필요해 보이는 아이 추려줘,
refl_support_need_scan,지원 필요한 아이 찾기,,추가 초안3,관찰 데이터상 신경 쓸 애 리스트 뽑아줘,
refl_support_need_scan,지원 필요한 아이 찾기,,추가 초안4,소근육 도움이 필요한 애들 찾아줘,
refl_period_retrospective,기간 회고,선택한 기간의 학급 활동·관찰 기록 전체를 모아 한 주·한 달·한 학기 단위의 회고 리포트를 생성한다.,기존1 (참고용),이번 달 우리 반 어땠는지 정리해줘,
refl_period_retrospective,기간 회고,,기존2 (참고용),1학기 마무리 회고 리포트 만들어줘,
refl_period_retrospective,기간 회고,,추가 초안1,3월 한 달 우리 반 회고 리포트 만들어줘,
refl_period_retrospective,기간 회고,,추가 초안2,1학기 전체 돌아보기 정리해줘,
refl_period_retrospective,기간 회고,,추가 초안3,이번 주 학급 운영 요약 리포트 뽑아줘,
refl_period_retrospective,기간 회고,,추가 초안4,겨울방학 전까지 활동 총정리 해줘,
studio_worksheet_generate,활동지 만들기,주제·연령을 입력으로 인쇄해서 쓰는 활동지(색칠 도안·선잇기·미로·오리기·짝맞추기 등)를 생성한다.,신규1 (onto-2.0),봄꽃 주제로 선잇기 활동지 하나 만들어줘,
studio_worksheet_generate,활동지 만들기,,신규2 (onto-2.0),공룡 미로 찾기 워크시트 뽑아줘,
studio_worksheet_generate,활동지 만들기,,신규3 (onto-2.0),만 3세용 색칠 도안 준비해줘,
studio_worksheet_generate,활동지 만들기,,신규4 (onto-2.0),우주 주제 색칠도안 하나 생성해줘,
studio_worksheet_generate,활동지 만들기,,신규5 (onto-2.0),가위질 연습할 오리기 자료 좀 만들어줄래?,
studio_worksheet_generate,활동지 만들기,,신규6 (onto-2.0),숫자 따라쓰기 A4 한 장 만들어 줘,
studio_video_generate,활동 영상 만들기,주제 설명이나 이미지를 입력으로 활동·수업에 쓸 짧은 영상을 생성한다.,신규1 (onto-2.0),바다 속 물고기들이 헤엄치는 짧은 영상 만들어줘,
studio_video_generate,활동 영상 만들기,,신규2 (onto-2.0),이 그림으로 움직이는 영상 만들어줘,
studio_video_generate,활동 영상 만들기,,신규3 (onto-2.0),손 씻기 순서 알려주는 애니메이션 영상 하나 뽑아줘,
studio_video_generate,활동 영상 만들기,,신규4 (onto-2.0),공룡이 걸어다니는 영상 생성해줘,
studio_video_generate,활동 영상 만들기,,신규5 (onto-2.0),동요에 맞춰 틀어줄 배경 영상 만들어줄래?,
studio_video_generate,활동 영상 만들기,,신규6 (onto-2.0),이 캐릭터가 인사하는 영상으로 만들어져?,
studio_slides_draft,슬라이드 만들기,수업 주제나 행사 내용을 입력으로 발표·수업용 슬라이드(장표) 초안을 생성한다.,신규1 (onto-2.0),교통안전 수업용 슬라이드 만들어줘,
studio_slides_draft,슬라이드 만들기,,신규2 (onto-2.0),봄 프로젝트 발표 장표 초안 잡아줘,
studio_slides_draft,슬라이드 만들기,,신규3 (onto-2.0),부모참여수업 때 보여줄 PPT 만들어줄래?,
studio_slides_draft,슬라이드 만들기,,신규4 (onto-2.0),지진 대피 훈련 슬라이드 다섯 장으로 정리해줘,
studio_slides_draft,슬라이드 만들기,,신규5 (onto-2.0),이 계획안으로 수업 슬라이드 만들어줘,
studio_slides_draft,슬라이드 만들기,,신규6 (onto-2.0),졸업식 식순 장표 하나 부탁해,
studio_game_generate,게임 만들기,주제·연령을 입력으로 아이들이 화면을 조작하며 노는 인터랙티브 게임 콘텐츠를 생성한다.,신규1 (onto-2.0),동물 짝맞추기 게임 만들어줘,
studio_game_generate,게임 만들기,,신규2 (onto-2.0),과일 이름 맞히기 퀴즈 게임 하나 만들어줄래?,
studio_game_generate,게임 만들기,,신규3 (onto-2.0),아이들이 태블릿으로 하는 그림자 맞추기 게임 만들어줘,
studio_game_generate,게임 만들기,,신규4 (onto-2.0),이 사진들로 카드 뒤집기 게임 만들어줘,
studio_game_generate,게임 만들기,,신규5 (onto-2.0),색깔별로 나누는 분류 게임 같은 거 돼?,
studio_game_generate,게임 만들기,,신규6 (onto-2.0),공룡 발자국 따라가는 게임 만들어줘,
studio_topic_web_generate,주제망 만들기,주제나 유아 관심사를 입력으로 생각그물·주제망(마인드맵)을 생성한다.,신규1 (onto-2.0),가을 주제로 마인드맵 그려줘,
studio_topic_web_generate,주제망 만들기,,신규2 (onto-2.0),곤충 프로젝트 주제망 만들어줘,
studio_topic_web_generate,주제망 만들기,,신규3 (onto-2.0),아이들 관심사로 생각그물 하나 만들어줄래?,
studio_topic_web_generate,주제망 만들기,,신규4 (onto-2.0),물 주제 확장맵 짜줘,
studio_topic_web_generate,주제망 만들기,,신규5 (onto-2.0),이 주제로 브레인스토밍 맵 만들어줘,
studio_topic_web_generate,주제망 만들기,,신규6 (onto-2.0),동네 탐험 주제망 정리해줘,
studio_external_resource_search,외부 자료 찾기,활동 주제에 맞는 외부 자료(유튜브 영상·웹 자료)를 검색해 링크·목록으로 제시한다.,신규1 (onto-2.0),상어 가족 율동 유튜브 영상 찾아줘,
studio_external_resource_search,외부 자료 찾기,,신규2 (onto-2.0),가을 낙엽 놀이 참고할 만한 자료 검색해줘,
studio_external_resource_search,외부 자료 찾기,,신규3 (onto-2.0),공룡 다큐 영상 링크 좀 찾아줄래?,
studio_external_resource_search,외부 자료 찾기,,신규4 (onto-2.0),종이접기 순서 나온 웹사이트 찾아줘,
studio_external_resource_search,외부 자료 찾기,,신규5 (onto-2.0),이 주제로 아이들이랑 볼만한 동요 영상 추천해줘,
studio_external_resource_search,외부 자료 찾기,,신규6 (onto-2.0),봄 동시 자료 인터넷에서 찾아줘,
refl_child_guidance_consult,아이 지도 상담,교사가 묘사한 아동의 걱정되는 행동을 입력으로 발달 지식에 기반한 지도 방안을 상담 형식으로 제안한다.,신규1 (onto-2.0),요즘 지호가 밥을 잘 안 먹는데 어떻게 하면 좋을까?,
refl_child_guidance_consult,아이 지도 상담,,신규2 (onto-2.0),친구를 자꾸 무는 아이는 어떻게 지도해야 해?,
refl_child_guidance_consult,아이 지도 상담,,신규3 (onto-2.0),낮잠 시간에 유독 우는 아이가 있는데 조언 좀 해줘,
refl_child_guidance_consult,아이 지도 상담,,신규4 (onto-2.0),전학 온 아이가 적응을 힘들어하는데 어떻게 도와줄까?,
refl_child_guidance_consult,아이 지도 상담,,신규5 (onto-2.0),동생이 생긴 뒤로 아기처럼 구는데 괜찮은 걸까?,
refl_child_guidance_consult,아이 지도 상담,,신규6 (onto-2.0),물건을 자꾸 던지는 행동엔 어떻게 반응해야 해?,
